uf_origem,regiao_origem,uf_destino,regiao_destino,tipo_operacao,aliquota_icms_interestadual_base,regra_resolucao_22_1989,aliquota_importado_resolucao_13_2012,aplica_importado_se_bem_importado,fonte_regra_base,fonte_regra_importado,observacao_modelagem
AC,Norte,AC,Norte,interna,,operação interna,,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Usar alíquota interna da UF/dado da empresa; não aplicar regra interestadual.
AC,Norte,AL,Nordeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,AP,Norte,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,AM,Norte,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,BA,Nordeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,CE,Nordeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,DF,Centro-Oeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,ES,Sudeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,GO,Centro-Oeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,MA,Nordeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,MT,Centro-Oeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,MS,Centro-Oeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,MG,Sudeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,PA,Norte,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,PB,Nordeste,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
AC,Norte,PR,Sul,interestadual,0.12,interestadual 12%,0.04,"Sim, se o produto/mercadoria se enquadrar na Resolução 13/2012; caso contrário, não aplicar.",https://legis.senado.leg.br/norma/586152/publicacao/15646891,https://legis.senado.leg.br/norma/586999,Regra geral interestadual.
