id,filename,package_path,size_bytes,sha256,zip_valid,encrypted_path,encrypted_size_bytes,encrypted_sha256,encryption
empresa1_demanda,Dados de Demanda(3).xlsx,references/raw_sources/Dados de Demanda(3).xlsx.enc.json,4632746,df6c3c49f83f54366f9b6148218d402d91ea6658e99d268b9b973b38e31e71f4,,references/raw_sources/Dados de Demanda(3).xlsx.enc.json,6177224,c9a53b7e4cbeefb594466b8d69a04cf578e4e540487b78541a433dd7ad94e497,AES-GCM/PBKDF2-SHA-256
empresa1_distancias,Dados de Distância(3).xlsx,references/raw_sources/Dados de Distância(3).xlsx.enc.json,47817,dbc50759ff41970f042a4d30c7889399c230606fa6c43b1b569e8f20a2438ad8,,references/raw_sources/Dados de Distância(3).xlsx.enc.json,63991,2c4edbdaf3b34a4cb514cdd0f689dcf13b3ace53eca96c7b41f2e0359a9b03ff,AES-GCM/PBKDF2-SHA-256
empresa1_premissas,Premissas Gerais(4).xlsx,references/raw_sources/Premissas Gerais(4).xlsx.enc.json,8723,5123df4cb2886d718c4e05b2a30183177ca6c24edd7c642a5472db4b6b7a74a7,,references/raw_sources/Premissas Gerais(4).xlsx.enc.json,11860,54fab70a70dbd1def3a7efe86c2fd23ae2b4fc2d58f32a75775696574462552b,AES-GCM/PBKDF2-SHA-256
empresa2_malha,Analise_Malha_Empresa2(1).xlsx,references/raw_sources/Analise_Malha_Empresa2(1).xlsx.enc.json,5106541,95ecd04ed818ae0e25ea99ad28785c3f033ba1678d00cc55c1ff12e221b1709f,,references/raw_sources/Analise_Malha_Empresa2(1).xlsx.enc.json,6808958,94efd01b6d08e43a70f86acf99c6156b97ee3c54b6083b8c725c3202fd520db0,AES-GCM/PBKDF2-SHA-256
empresa2_malha_vcaracol_referencia,Análise Malha Logística - vCaracol(3).xlsx,references/raw_sources/Análise Malha Logística - vCaracol(3).xlsx.enc.json,5106541,95ecd04ed818ae0e25ea99ad28785c3f033ba1678d00cc55c1ff12e221b1709f,,references/raw_sources/Análise Malha Logística - vCaracol(3).xlsx.enc.json,6808972,c3027c20cad399ca74867f0c0e65fe5e70521ad7e4eda1e36329c4a3c1eeb5ab,AES-GCM/PBKDF2-SHA-256
icms_216,icms_216_linhas.csv,references/raw_sources/icms_216_linhas.csv.enc.json,23689,03ea1c20709fc98e7ba3329f5a88c774fe24e44207676eb274910be486dcbbd4,,references/raw_sources/icms_216_linhas.csv.enc.json,31811,65c34d463f61c7fe77ff60eb755e5ddb8f9438bf2f647774814733210d9c933e,AES-GCM/PBKDF2-SHA-256
capstone_pdf,PUC-Rio EP Capstone - Desafio Visagio Malha Logística com RefTrib(1).pdf,references/raw_sources/PUC-Rio EP Capstone - Desafio Visagio Malha Logística com RefTrib(1).pdf.enc.json,3921250,b2dff5359b68733764ed3f67efc2e0ff011e60c95922c23c350ede71aeb8b1c1,,references/raw_sources/PUC-Rio EP Capstone - Desafio Visagio Malha Logística com RefTrib(1).pdf.enc.json,5228613,14245aa2dfa14bdef0f92c2569850f052979010b173d872e998abe054e27159a,AES-GCM/PBKDF2-SHA-256
icms_resumo_pdf,me ajuda com uma dúvida resumo do ICMS atual brasi.pdf,references/raw_sources/me ajuda com uma dúvida resumo do ICMS atual brasi.pdf.enc.json,537186,332efd6be0e6a5a15eea75e3693884a9a89100b69a1c5b38d98023ada0606aac,,references/raw_sources/me ajuda com uma dúvida resumo do ICMS atual brasi.pdf.enc.json,716511,383e19c1253bd1d45a0d15271c73a43c36128f741dc2759db5e005c0296aa8f8,AES-GCM/PBKDF2-SHA-256
mapa_analise,mapa_analise_exploratoria.md,references/raw_sources/mapa_analise_exploratoria.md.enc.json,7982,2281342e1b23925e53ceae87861cdc6c4edc6e5886f4ebe77e3a308a58b25f80,,references/raw_sources/mapa_analise_exploratoria.md.enc.json,10876,d9ccdd1a54e263e88a9a876cce3a02d8760cf16f058da6c847f3a736c24f2206,AES-GCM/PBKDF2-SHA-256
notas_reuniao,notas_reuniao.md,references/raw_sources/notas_reuniao.md.enc.json,1079,7207f72e7e3ce0ce3dfb663eeabc086869eba6405f888d2cd24e7977a72c19f3,,references/raw_sources/notas_reuniao.md.enc.json,1660,c794fc2b25df4082aeebcfef52e1e857c03f01c125f5db82016975e25614de92,AES-GCM/PBKDF2-SHA-256
